compound,phase,dipolemoment
0,water,0.22
0,gas,0.05
0,decaline,0.10
1,water,0.74
1,gas,0.39
1,decaline,0.52
2,water,0.80
2,gas,0.54
2,decaline,0.66
3,water,0.85
3,gas,0.52
3,decaline,0.65
4,water,0.88
4,gas,0.50
4,decaline,0.65
5,water,0.99
5,gas,0.60
5,decaline,0.76
6,water,1.07
6,gas,0.61
6,decaline,0.80
7,water,1.28
7,gas,0.77
7,decaline,0.96
8,water,1.36
8,gas,0.82
8,decaline,1.05
9,water,1.41
9,gas,0.83
9,decaline,1.06
10,water,1.44
10,gas,0.87
10,decaline,1.10
11,water,1.46
11,gas,0.9
11,decaline,1.12
12,water,1.48
12,gas,0.96
12,decaline,1.17
13,water,1.67
13,gas,1.07
13,decaline,1.31
14,water,1.94
14,gas,1.23
14,decaline,1.53
15,water,1.95
15,gas,1.21
15,decaline,1.52
16,water,2.07
16,gas,1.33
16,decaline,1.65
17,water,2.14
17,gas,1.35
17,decaline,1.68
18,water,2.30
18,gas,1.43
18,decaline,1.79
19,water,2.30
19,gas,1.5
19,decaline,1.84
20,water,2.44
20,gas,1.48
20,decaline,1.88
21,water,2.46
21,gas,1.56
21,decaline,1.94
22,water,2.47
22,gas,1.53
22,decaline,1.91



